Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.211071,0.763318,0.390954,0.140207,0.052157,0.000000,0.000000,0.050897,0.107075,0.095788,0.063992,13.535661,27.112032,25.545077,0.689275,0.000000,
1,0.210865,0.763259,0.390534,0.139896,0.052133,0.424223,1.606960,0.069270,0.106175,0.092428,0.056140,13.465668,27.290095,25.672070,0.692083,0.000000,
2,0.211366,0.762475,0.390405,0.140311,0.052330,0.330535,0.424223,0.070178,0.105371,0.091471,0.053414,13.448712,27.316744,25.691668,0.691756,0.000000,
3,0.211161,0.762693,0.390459,0.140042,0.052272,0.309680,0.330535,0.069102,0.105109,0.090738,0.052415,13.440259,27.326555,25.703095,0.691909,0.000000,
4,0.211473,0.762068,0.390575,0.140357,0.052377,0.302122,0.309680,0.068113,0.104576,0.090538,0.051971,13.434226,27.330562,25.706509,0.691417,0.000000,
5,0.211191,0.762402,0.390515,0.140035,0.052292,0.296630,0.302122,0.066781,0.104364,0.089592,0.051757,13.430958,27.334626,25.712701,0.691658,0.000000,
6,0.211455,0.761899,0.390537,0.140320,0.052380,0.295658,0.296630,0.066766,0.104331,0.089520,0.049603,13.428175,27.334537,25.711612,0.691204,0.000000,
7,0.211227,0.762724,0.390607,0.140032,0.052302,0.293382,0.295658,0.066358,0.104227,0.090253,0.053237,13.427118,27.336786,25.715639,0.691544,0.000000,
8,0.211473,0.762018,0.390415,0.140327,0.052391,0.292654,0.293382,0.066316,0.104020,0.089600,0.049692,13.425695,27.335546,25.713981,0.691129,0.000000,
9,0.211199,0.762297,0.390492,0.140015,0.052303,0.292066,0.292654,0.066280,0.104349,0.089435,0.049581,13.425423,27.337309,25.717385,0.691486,0.000000,
10,0.211481,0.761974,0.390446,0.140329,0.052394,0.292066,0.292066,0.066156,0.104021,0.089281,0.051005,13.424586,27.336035,25.714909,0.691079,0.000000,
11,0.211222,0.762374,0.390493,0.140052,0.052306,0.292231,0.292231,0.066014,0.104224,0.089146,0.050290,13.424546,27.337995,25.718680,0.691442,0.000000,
12,0.211703,0.761940,0.390615,0.140380,0.052495,1.064875,1.064875,0.069694,0.104524,0.089244,0.052202,13.419948,27.345343,25.725790,0.691783,0.000000,
